sample_id,hiseq_id,library,observed_stage,stage,sex,site_shrt,region,site,year,month,latitude,longitude,pcl,fl,tl
SC_2279,ATL_10-01,10,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2016,AUG,32.1723,-80.5782,504,555,701
SC_664,ATL_1-01,01,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2012,AUG,32.34215,-80.76567,NA,508,571
SC_784,ATL_1-02,01,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,MAY,33.0095,-79.48533,NA,471,529
SC_788,ATL_1-03,01,NA,YOY,M,SHS,Atl,St._Helena_Sound,2013,JUN,32.50048,-80.54033,NA,445,500
SC_657,ATL_1-04,01,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,AUG,32.50048,-80.54033,NA,470,528
SC_658,ATL_1-05,01,NA,YOY,F,SHS,Atl,St._Helena_Sound,2012,AUG,32.50048,-80.54033,NA,500,562
SC_666,ATL_1-06,01,NA,YOY,M,PRS,Atl,Port_Royal_Sound,2012,AUG,32.28818,-80.73142,NA,509,572
SC_669,ATL_1-07,01,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,AUG,32.50127,-80.52822,NA,440,495
SC_670,ATL_1-08,01,NA,YOY,F,SHS,Atl,St._Helena_Sound,2012,AUG,32.50127,-80.52822,NA,491,552
SC_672,ATL_1-09,01,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,AUG,32.4983,-80.51498,NA,482,542
SC_682,ATL_1-10,01,NA,YOY,F,SHS,Atl,St._Helena_Sound,2012,AUG,32.44647,-80.37242,NA,530,595
SC_2268,ATL_11-01,11,NA,YOY,F,SHS,Atl,St._Helena_Sound,2016,AUG,32.443,-80.3793,508,560,707
SC_2261,ATL_11-02,11,NA,YOY,F,BLB,Atl,Bulls_Bay,2016,AUG,33.0351,-79.5456,496,546,683
SC_2258,ATL_11-03,11,NA,YOY,M,BLB,Atl,Bulls_Bay,2016,JUL,33.0351,-79.5456,434,478,605
SC_2256,ATL_11-04,11,NA,YOY,M,BLB,Atl,Bulls_Bay,2016,JUL,33.0351,-79.5456,421,464,585
SC_2250,ATL_11-05,11,NA,YOY,F,BLB,Atl,Bulls_Bay,2016,JUL,33.0351,-79.5456,499,550,688
SC_2230,ATL_11-06,11,NA,YOY,F,BLB,Atl,Bulls_Bay,2016,JUL,33.0351,-79.5456,473,521,656
SC_2229,ATL_11-07,11,NA,YOY,F,BLB,Atl,Bulls_Bay,2016,JUL,33.0351,-79.5456,470,518,656
SC_2222,ATL_11-08,11,NA,YOY,F,BLB,Atl,Bulls_Bay,2016,JUL,33.0095,-79.4853,503,554,697
SC_2280,ATL_11-09,11,NA,YOY,F,PRS,Atl,Port_Royal_Sound,2016,AUG,32.1723,-80.5782,536,590,740
SC_726,ATL_1-11,01,NA,YOY,M,PRS,Atl,Port_Royal_Sound,2012,OCT,32.15793,-80.58978,NA,561,630
SC_2218,ATL_11-10,11,NA,YOY,M,BLB,Atl,Bulls_Bay,2016,JUL,33.0095,-79.4853,471,519,655
SC_2322,ATL_11-11,11,NA,YOY,F,SHS,Atl,St._Helena_Sound,2016,AUG,32.5005,-80.5403,534,588,714
SC_2291,ATL_11-12,11,NA,YOY,F,BLB,Atl,Bulls_Bay,2016,AUG,32.9387,-79.6042,498,549,689
SC_2275,ATL_11-13,11,NA,YOY,UND,SHS,Atl,St._Helena_Sound,2016,AUG,32.5071,-80.5113,515,567,713
SC_2272,ATL_11-14,11,NA,YOY,F,SHS,Atl,St._Helena_Sound,2016,AUG,32.4882,-80.4758,500,551,694
SC_2270,ATL_11-15,11,NA,YOY,M,SHS,Atl,St._Helena_Sound,2016,AUG,32.4499,-80.4201,487,536,674
SC_2269,ATL_11-16,11,NA,YOY,F,SHS,Atl,St._Helena_Sound,2016,AUG,32.4417,-80.3929,494,544,672
SC_729,ATL_1-13,01,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,OCT,32.50048,-80.54033,NA,548,615
SC_791,ATL_1-14,01,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,JUN,32.50048,-80.54033,NA,414,465
SC_792,ATL_1-15,01,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,JUN,32.50048,-80.54033,NA,427,480
SC_794,ATL_1-16,01,NA,YOY,F,SHS,Atl,St._Helena_Sound,2013,JUN,32.50048,-80.54033,NA,460,517
SC_797,ATL_1-17,01,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,432,485
SC_798,ATL_1-18,01,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,490,550
SC_804,ATL_1-19,01,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,457,514
SC_813,ATL_1-20,01,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.02478,-79.50423,NA,485,545
SC_816,ATL_1-21,01,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.02478,-79.50423,NA,442,497
SC_859,ATL_1-22,01,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,496,557
SC_863,ATL_1-24,01,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,444,499
SC_865,ATL_1-25,01,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,415,466
SC_681,ATL_2-07,02,NA,YOY,M,SHS,Atl,St._Helena_Sound,2012,AUG,32.44647,-80.37242,NA,518,582
SC_802,ATL_2-08,02,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,420,472
SC_815,ATL_2-09,02,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.02478,-79.50423,NA,441,496
SC_803,ATL_2-10,02,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,418,470
SC_807,ATL_2-11,02,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,440,494
SC_809,ATL_2-12,02,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.02478,-79.50423,NA,482,542
SC_810,ATL_2-13,02,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.02478,-79.50423,NA,449,504
SC_811,ATL_2-14,02,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.02478,-79.50423,NA,463,520
SC_812,ATL_2-15,02,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.02478,-79.50423,NA,452,508
SC_817,ATL_2-16,02,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.02478,-79.50423,NA,423,475
SC_841,ATL_2-17,02,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,474,532
SC_830,ATL_2-18,02,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,460,517
SC_832,ATL_2-19,02,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,438,492
SC_840,ATL_2-20,02,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,440,495
SC_864,ATL_2-21,02,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,454,510
SC_848,ATL_2-22,02,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,458,515
