hiseq_id,sample_id,library,observed_stage,stage,sex,site_shrt,region,site,year,month,latitude,longitude,pcl,fl,tl
ATL_1-02,SC_784,1,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,MAY,33.0095,-79.48533,NA,471,529
ATL_11-02,SC_2261,11,NA,YOY,F,BLB,Atl,Bulls_Bay,2016,AUG,33.0351,-79.5456,496,546,683
ATL_11-03,SC_2258,11,NA,YOY,M,BLB,Atl,Bulls_Bay,2016,JUL,33.0351,-79.5456,434,478,605
ATL_11-04,SC_2256,11,NA,YOY,M,BLB,Atl,Bulls_Bay,2016,JUL,33.0351,-79.5456,421,464,585
ATL_11-05,SC_2250,11,NA,YOY,F,BLB,Atl,Bulls_Bay,2016,JUL,33.0351,-79.5456,499,550,688
ATL_11-06,SC_2230,11,NA,YOY,F,BLB,Atl,Bulls_Bay,2016,JUL,33.0351,-79.5456,473,521,656
ATL_11-07,SC_2229,11,NA,YOY,F,BLB,Atl,Bulls_Bay,2016,JUL,33.0351,-79.5456,470,518,656
ATL_11-08,SC_2222,11,NA,YOY,F,BLB,Atl,Bulls_Bay,2016,JUL,33.0095,-79.4853,503,554,697
ATL_11-10,SC_2218,11,NA,YOY,M,BLB,Atl,Bulls_Bay,2016,JUL,33.0095,-79.4853,471,519,655
ATL_11-12,SC_2291,11,NA,YOY,F,BLB,Atl,Bulls_Bay,2016,AUG,32.9387,-79.6042,498,549,689
ATL_1-17,SC_797,1,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,432,485
ATL_1-18,SC_798,1,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,490,550
ATL_1-22,SC_859,1,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,496,557
ATL_1-24,SC_863,1,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,444,499
ATL_1-25,SC_865,1,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,415,466
ATL_2-21,SC_864,2,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,454,510
ATL_2-22,SC_848,2,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,458,515
ATL_2-23,SC_850,2,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,397,446
ATL_2-24,SC_852,2,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,447,502
ATL_2-25,SC_855,2,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,428,481
ATL_2-26,SC_866,2,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,427,480
ATL_2-29,SC_867,2,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,420,472
ATL_2-30,SC_869,2,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,405,455
ATL_2-31,SC_870,2,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,475,534
ATL_2-32,SC_871,2,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,480,539
ATL_2-57,SC_806,2,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,526,591
ATL_2-58,SC_831,2,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,525,590
ATL_2-61,SC_783,2,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,MAY,33.0095,-79.48533,NA,472,530
ATL_3-01,SC_814,3,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.02478,-79.50423,NA,457,514
ATL_3-02,SC_844,3,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,447,502
ATL_3-03,SC_847,3,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.0095,-79.48533,NA,449,505
ATL_4-04,SC_1373,4,NA,YOY,F,BLB,Atl,Bulls_Bay,2014,JUL,33.03511,-79.54564,437,489,548
ATL_4-05,SC_1382,4,NA,YOY,M,BLB,Atl,Bulls_Bay,2014,JUL,33.03511,-79.54564,399,440,493
ATL_4-06,SC_1383,4,NA,YOY,F,BLB,Atl,Bulls_Bay,2014,JUL,33.0095,-79.48533,429,473,530
ATL_4-07,SC_1386,4,NA,YOY,F,BLB,Atl,Bulls_Bay,2014,JUL,33.0095,-79.48533,484,540,605
ATL_4-08,SC_1403,4,NA,YOY,F,BLB,Atl,Bulls_Bay,2014,JUL,33.0095,-79.48533,452,498,558
ATL_4-09,SC_1405,4,NA,YOY,M,BLB,Atl,Bulls_Bay,2014,JUL,33.0095,-79.48533,440,485,544
ATL_4-10,SC_1408,4,NA,YOY,F,BLB,Atl,Bulls_Bay,2014,JUL,33.0095,-79.48533,454,505,566
ATL_6-27,SC_1200,6,YOY,YOY,M,BLB,Atl,Bulls_Bay,2014,MAY,33.0095,-79.48533,436,480,538
ATL_6-28,SC_1879,6,YOY,YOY,F,BLB,Atl,Bulls_Bay,2015,JUL,33.03511,-79.54564,449,495,555
ATL_6-29,SC_1878,6,YOY,YOY,F,BLB,Atl,Bulls_Bay,2015,JUL,33.03511,-79.54564,426,469,526
ATL_6-30,SC_1876,6,YOY,YOY,F,BLB,Atl,Bulls_Bay,2015,JUL,33.03511,-79.54564,448,494,554
ATL_6-41,SC_804,6,NA,YOY,F,BLB,Atl,Bulls_Bay,2013,JUN,33.03317,-79.52933,NA,457,514
ATL_6-42,SC_1281,6,YOY,YOY,M,BLB,Atl,Bulls_Bay,2014,JUN,33.03511,-79.54564,461,508,570
ATL_6-44,SC_813,6,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.02478,-79.50423,NA,485,545
ATL_6-45,SC_816,6,NA,YOY,M,BLB,Atl,Bulls_Bay,2013,JUN,33.02478,-79.50423,NA,442,497
